,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39
104,0,0,19,11,5,49,20,4,12,18,0,1,0,5,7,67,0,101,0,1,9,1,0,3,3,79,3,1,124,93,5,101,1,2,87,3,0,4,1,2
105,0,4,13,5,3,38,18,15,14,16,2,2,0,3,0,212,2430,2897,0,0,12,1,0,8,11,2455,11,1,619,2666,0,418,0,0,2544,0,1,27,8,525
106,0,2,9,7,4,32,3,3,8,32,1,3,0,13,33,95,25,16,0,0,1576,2,1,2,1189,26,1038,1,181,28,0,141,0,1,29,0,1,14,2,1112
107,0,0,1,2,5,133,12,4,6,4,0,1,0,7,0,11,2464,2940,0,1,2012,1,0,2,1452,2490,1240,0,1143,2706,5,719,1,2,2581,0,0,1098,1,2
108,0,2,3,5,7,40,0,8,6,32,1,8,3,1,3,20,0,15,0,0,26,1,0,163,25,0,25,0,69,3,7,23,65,3,3,0,1,1484,0,1130
109,0,0,3,41,1,88,30,4,4,9,0,1,0,0,3,65,1512,1784,0,0,2929,7,0,2,1592,1526,1344,1,440,1661,5,97,0,0,1586,0,0,691,11,1659
110,0,3,0,5,6,78,14,2,4,9,0,1,2,8,0,74,0,4,0,0,53,0,0,34,276,89,50,1,136,104,2,110,1,2,97,0,0,4,1,2
111,0,2,0,5,3,61,4,15,1,23,1,2,0,3,6,63,2511,2992,0,4,327,1,0,2,298,2538,273,12,1911,2756,0,94,0,0,2630,0,1,21,0,9
112,1,0,4,17,14,107,6,2,13,8,0,2,2,17,14,67,0,101,0,1,78,1,0,2751,75,79,73,1,124,93,6,101,1,2,87,1,8,4,1,2
113,0,2,23,15,11,8,17,2,7,18,1,1,0,13,2,0,124,152,0,0,129,0,0,1155,38,127,37,1,141,149,5,0,0,1,135,0,1,134,0,98
114,0,4,18,4,16,142,16,19,11,48,2,2,2,14,3,24,5,2,0,5,80,1,0,56,77,6,75,6,30,7,7,28,1,2,7,0,7,2,1,2
115,0,4,27,2,6,60,56,1,3,42,2,1,0,8,7,7,25,16,0,5,227,5,0,1435,211,26,197,1,35,28,0,33,1,2,29,0,1,14,1,2
116,0,15,19,3,9,11,13,5,0,0,0,2,3,0,13,286,2651,3152,3,0,2396,1,0,1344,191,2679,177,2,1053,2910,2,673,0,0,2780,0,1,2306,4,43
117,0,4,24,5,1,65,65,2,10,44,2,1,0,6,3,18,372,464,0,0,3067,1,0,75,788,377,710,2,22,438,0,21,1,2,396,0,1,20,1,2
118,0,4,34,5,15,73,43,7,6,46,2,2,0,14,3,12,0,3159,0,5,378,0,0,96,12,0,12,10,721,3,0,12,19,3,3,0,1,2311,5,1765
119,1,1,52,3,1,7,4,22,5,34,3,4,0,4,3,275,5,2,1,0,1739,1,0,2,320,6,292,2,1165,7,0,604,1,2,7,0,2,2,1,2
120,1,0,1,22,16,105,29,4,10,18,0,1,0,18,14,14,63,78,3,0,1038,1,0,2,843,64,264,2,96,72,5,80,0,0,71,0,2,68,4,48
121,0,4,8,4,9,106,48,4,6,8,2,1,0,0,3,67,0,101,0,0,1470,1,0,1615,1121,79,983,1,124,93,5,101,1,2,87,0,1,4,1,2
122,0,2,7,2,1,144,3,3,2,23,1,3,0,6,2,11,1872,2215,0,2,55,5,1,38,2055,1889,52,5,1581,2048,0,937,1,2,1952,0,0,274,1,2
123,0,4,13,2,9,36,29,7,5,7,2,0,3,0,3,18,64,80,5,0,2227,1,0,173,213,65,198,2,22,74,0,21,1,2,72,0,9,69,1,2
124,1,4,34,4,0,7,9,17,12,12,2,11,1,4,6,20,2725,3238,0,5,26,5,0,432,25,2752,25,1,111,2988,2,23,504,3,2853,1,8,21,0,9
125,1,2,3,3,3,65,3,13,1,31,1,9,0,3,33,80,5,2,0,2,3146,0,1,326,1362,6,1174,5,509,7,1,119,1,2,7,0,1,2,1,2
126,0,2,38,19,10,48,33,2,15,55,1,0,0,2,20,67,0,101,0,5,288,1,0,1196,31,79,30,1,157,93,0,101,1,2,87,0,0,4,1,2
127,0,2,45,2,1,51,24,7,6,9,1,1,0,6,106,100,5,2,0,0,3224,5,0,3001,2101,6,693,0,1284,7,0,797,1,2,7,0,0,2,1,2
128,0,4,1,4,3,22,35,1,2,20,2,0,0,3,13,26,0,15,22,0,1542,1,0,63,83,0,81,10,778,3,1,30,560,0,3,0,8,138,6,100
129,1,2,11,4,7,103,3,3,6,1,1,3,0,1,3,101,0,211,0,5,741,1,1,3069,1190,0,582,2,317,202,7,236,1,2,3052,3,1,185,1,2
130,0,4,4,8,8,3,2,1,9,33,2,0,3,9,123,106,25,16,0,0,738,4,0,3081,246,26,229,1,303,28,7,225,1,2,29,0,8,14,1,2
131,0,2,0,11,8,22,35,16,14,20,1,1,0,12,3,20,0,15,3,5,123,4,0,22,25,0,25,0,69,3,0,23,10,3,3,0,1,138,0,100
132,0,2,6,0,6,43,3,3,4,9,1,3,0,8,0,11,8,10,0,0,727,1,1,2,630,9,238,1,1984,10,8,1129,1,2,10,0,9,9,1,2
133,0,1,4,10,6,56,24,1,5,22,0,1,0,8,3,58,3008,3571,0,1,12,1,0,8,11,3031,11,0,984,3292,0,86,0,1,3152,0,1,2596,8,53
134,0,2,14,3,7,159,3,13,6,31,1,9,0,1,3,89,10,16,0,0,40,1,1,2,39,11,38,0,261,14,5,132,0,1,14,0,8,14,0,812
135,1,13,60,5,9,4,4,21,7,13,0,4,3,4,16,252,1431,1691,0,5,622,1,0,27,520,1448,249,2,1621,1575,0,536,1,2,1504,3,0,1304,1,2
136,0,1,19,10,16,105,21,1,11,40,0,1,0,18,0,79,5,2,3,0,618,21,0,3232,290,6,265,10,147,7,5,116,1,2,7,0,1,2,1,2
137,0,4,5,3,3,28,3,13,1,31,2,9,0,3,95,392,3094,3676,0,0,29,1,0,105,3,3117,3,24,2161,3383,0,1207,1,2,3237,0,13,2666,1,2
138,0,4,3,3,3,12,19,4,2,23,2,1,0,3,3,0,578,722,0,1,160,1,0,119,150,589,143,1,631,668,5,424,0,1,616,3,0,19,0,385
139,0,2,1,4,7,6,47,1,11,29,1,1,0,20,7,109,0,1964,14,5,589,1,0,94,520,0,249,1,363,3460,1,169,1,2,3,1,0,1496,1,2
140,0,4,4,0,7,171,35,10,4,29,2,1,1,1,3,93,114,136,0,1,218,1,0,1351,203,117,189,7,177,135,7,138,1,2,124,3,0,120,1,2
141,0,2,0,7,9,12,32,2,0,39,1,2,3,0,3,112,219,265,3,0,1118,1,0,1222,251,222,233,2,232,251,7,173,0,1,234,0,9,231,3,133
142,0,1,23,0,9,55,29,15,6,29,0,2,0,0,3,56,728,880,0,0,3498,1,0,328,2220,738,1825,2,176,827,5,137,14,3,767,0,1,445,0,338
143,0,4,11,2,7,51,38,1,2,10,2,1,0,1,3,11,3185,3791,0,0,1420,1,0,2243,447,3215,413,1,247,3489,5,182,1,2,3341,0,1,172,1,2
144,0,4,31,13,2,12,18,10,9,20,2,1,0,11,3,86,3190,1364,0,1,36,1,0,2,35,3221,34,5,163,1262,1,127,0,1,1209,0,1,2,2,79
145,1,4,52,24,1,18,41,4,2,42,2,1,7,6,3,91,3196,693,0,0,3508,19,0,2,2226,3228,1162,1,171,640,2,134,1,2,3353,3,0,115,1,2
146,0,2,0,5,9,163,3,3,0,16,1,3,0,0,3,12,1039,1244,5,3,2167,95,1,614,697,1055,630,2,52,1157,0,12,24,0,1097,0,1,21,2,9
147,0,0,3,14,14,4,12,21,10,50,0,10,7,5,11,20,0,15,0,0,26,1,0,1153,25,0,25,0,69,3,2,23,26,0,3,0,8,2774,4,2141
148,0,4,34,28,2,96,28,1,14,25,2,1,0,11,99,0,0,3841,0,4,971,1,0,462,531,0,488,1,141,3543,1,0,0,0,3,0,8,19,0,2142
149,1,4,4,5,7,19,20,1,16,25,2,1,3,1,27,36,1714,2015,1,1,673,1,0,3,588,1730,3,1,939,1874,1,48,0,0,1788,0,1,1534,4,1170
150,0,5,1,5,8,105,6,7,12,35,2,1,0,9,2,127,180,222,0,2,1214,1,0,75,153,183,145,2,1068,211,0,203,0,1,193,0,1,197,4,43
151,0,4,0,10,7,3,14,7,5,18,2,1,0,1,3,84,3274,3871,0,0,551,1,0,27,1526,3308,449,2,231,3574,0,124,138,3,3430,0,1,2790,13,2149
152,0,2,62,16,5,13,14,2,5,21,1,0,3,7,7,84,0,3916,0,0,2287,1,0,675,746,0,498,0,158,3,6,124,239,3,3,0,9,2823,13,2178
153,0,2,6,1,0,80,3,3,4,25,1,3,0,0,14,14,8,10,1,0,1508,1,0,3,3,9,3,0,256,10,3,15,0,1,10,3,0,9,4,55
154,1,19,32,4,5,49,18,36,7,50,0,4,0,7,3,20,1551,1834,0,5,123,1,0,18,25,1564,25,2,25,1701,0,23,181,0,1624,0,1,1403,4,1067
155,0,4,7,3,3,16,35,4,1,28,2,1,0,3,77,94,2,2,3,0,326,1,0,239,297,2,272,2,419,2,5,140,1,2,2,0,6,2,1,2
156,1,15,17,3,0,46,4,0,0,5,3,0,3,4,3,29,1224,1455,0,0,301,5,0,856,138,1240,7,2,102,1351,1,84,128,1,1289,1,0,21,0,861
157,0,0,1,8,9,34,18,1,8,13,0,0,2,0,0,211,30,16,3,4,860,1,0,2,725,31,654,1,1587,34,6,417,0,1,34,0,0,14,2,403
158,0,4,6,10,5,67,32,0,7,34,2,0,3,5,16,271,1512,1784,0,0,2442,1,0,2,997,1526,879,0,1355,1661,7,831,0,0,1586,0,9,691,4,1036
159,0,2,19,12,8,60,2,4,12,8,1,1,3,9,3,51,210,258,0,0,3318,1,0,1898,1588,213,1341,1,314,242,7,234,0,1,225,0,1,89,11,168
160,1,2,0,13,1,161,32,3,6,28,1,3,3,0,3,117,0,4029,0,1,3669,5,1,3477,1032,0,909,2,346,3725,6,183,0,1,3,1,0,631,0,478
161,1,1,1,5,9,107,0,1,2,5,0,1,0,0,3,69,81,105,0,4,21,36,0,2,1246,83,20,1,127,97,4,103,0,3,91,0,1,19,0,43
